
SPDR S&P 500 ETF Trust,Last: 388.67,Change:  -0.32
"Date: July 9, 2022 at 5:28 p.m. EDT",Bid: 388.68,Ask: 388.8,Size: 5*1,"Volume: 72,373,012"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jul 11 2022,SPY220711C00290000,0,0,98.58,99.34,0,1.9928,1,0,0,290.00,SPY220711P00290000,0.01,0,0,0.01,0,1.001,0,0,2567
Mon Jul 11 2022,SPY220711C00295000,0,0,93.52,94.39,0,1.8687,1,0,0,295.00,SPY220711P00295000,0.01,0,0,0.01,0,0.9525,-0.0001,0,1207
Mon Jul 11 2022,SPY220711C00300000,0,0,88.58,89.34,0,1.7487,1,0,0,300.00,SPY220711P00300000,0.01,0,0,0.01,0,0.8983,-0.0001,0,2173
Mon Jul 11 2022,SPY220711C00305000,0,0,83.58,84.43,0,1.6474,1,0,0,305.00,SPY220711P00305000,0.01,0,0,0.01,0,0.8449,-0.0001,0,1500
Mon Jul 11 2022,SPY220711C00310000,0,0,78.58,79.34,0,1.5351,0.9999,0,0,310.00,SPY220711P00310000,0.01,0.005,0,0.01,12,0.7922,-0.0001,0,668
Mon Jul 11 2022,SPY220711C00315000,0,0,73.58,74.34,0,1.4265,0.9999,0,0,315.00,SPY220711P00315000,0.01,0,0,0.01,0,0.7402,-0.0002,0,567
Mon Jul 11 2022,SPY220711C00320000,55.2,0,68.52,69.42,0,1.3065,0.9998,0,0,320.00,SPY220711P00320000,0.01,0.005,0,0.01,35,0.6888,-0.0002,0,2391
Mon Jul 11 2022,SPY220711C00325000,64.81,1,63.5,64.55,4,1.2189,0.9997,0.0001,1,325.00,SPY220711P00325000,0.01,0,0,0.01,0,0.6379,-0.0003,0.0001,405
Mon Jul 11 2022,SPY220711C00328000,61.85,1.04,60.58,61.34,6,1.1446,0.9996,0.0001,0,328.00,SPY220711P00328000,0.01,0.005,0,0.01,7,0.6076,-0.0004,0.0001,229
Mon Jul 11 2022,SPY220711C00330000,59.32,0.505,58.5,59.55,2,1.121,0.9996,0.0001,4,330.00,SPY220711P00330000,0.01,0,0,0.01,0,0.5876,-0.0004,0.0001,3689
Mon Jul 11 2022,SPY220711C00331000,49.59,0,57.5,58.55,0,1.1015,0.9995,0.0001,1,331.00,SPY220711P00331000,0.01,0,0,0.01,0,0.5776,-0.0005,0.0001,79
Mon Jul 11 2022,SPY220711C00332000,43.73,0,56.53,57.42,0,1.0659,0.9995,0.0001,0,332.00,SPY220711P00332000,0.02,0,0,0.01,0,0.5676,-0.0005,0.0001,235
Mon Jul 11 2022,SPY220711C00333000,47.62,0,55.5,56.55,0,1.0472,0.9995,0.0001,10,333.00,SPY220711P00333000,0.02,0,0,0.01,0,0.5576,-0.0005,0.0001,472
Mon Jul 11 2022,SPY220711C00334000,0,0,54.58,55.34,0,1.028,0.9994,0.0001,0,334.00,SPY220711P00334000,0.02,0,0,0.01,0,0.5476,-0.0006,0.0001,266
Mon Jul 11 2022,SPY220711C00335000,41.66,0,53.5,54.55,0,1.009,0.9994,0.0001,2,335.00,SPY220711P00335000,0.01,0.005,0,0.01,132,0.5377,-0.0006,0.0001,2144
Mon Jul 11 2022,SPY220711C00336000,0,0,52.53,53.43,0,0.9901,0.9993,0.0001,0,336.00,SPY220711P00336000,0.02,0,0,0.01,0,0.5278,-0.0006,0.0001,137
Mon Jul 11 2022,SPY220711C00337000,0,0,51.69,52.43,0,0.9711,0.9993,0.0001,0,337.00,SPY220711P00337000,0.01,0.005,0,0.01,1,0.5179,-0.0007,0.0001,42
Mon Jul 11 2022,SPY220711C00338000,51.14,0.325,50.5,51.55,4,0.9526,0.9992,0.0001,6,338.00,SPY220711P00338000,0.01,0.005,0,0.01,2,0.508,-0.0007,0.0001,337
Mon Jul 11 2022,SPY220711C00339000,50.29,0.475,49.56,50.43,2,0.9306,0.9992,0.0002,0,339.00,SPY220711P00339000,0.02,0,0,0.01,0,0.4982,-0.0008,0.0001,55
Mon Jul 11 2022,SPY220711C00340000,47.85,0,48.5,49.55,0,0.9154,0.9991,0.0002,17,340.00,SPY220711P00340000,0.02,0.015,0,0.01,2,0.4883,-0.0008,0.0002,1715
Mon Jul 11 2022,SPY220711C00341000,0,0,47.69,48.43,0,0.9123,0.9991,0.0002,0,341.00,SPY220711P00341000,0.01,-0.005,0,0.01,221,0.4784,-0.0008,0.0002,171
Mon Jul 11 2022,SPY220711C00342000,32.69,0,46.5,47.55,0,0.8787,0.999,0.0002,10,342.00,SPY220711P00342000,0.01,-0.005,0,0.01,1,0.4686,-0.0009,0.0002,230
Mon Jul 11 2022,SPY220711C00343000,0,0,45.53,46.43,0,0.8757,0.999,0.0002,0,343.00,SPY220711P00343000,0.01,-0.005,0,0.01,1,0.4588,-0.001,0.0002,335
Mon Jul 11 2022,SPY220711C00344000,37.34,0,44.5,45.55,0,0.858,0.9989,0.0002,23,344.00,SPY220711P00344000,0.02,0,0,0.01,0,0.449,-0.001,0.0002,605
Mon Jul 11 2022,SPY220711C00345000,44.42,0.595,43.5,44.55,5,0.8389,0.9988,0.0002,17,345.00,SPY220711P00345000,0.01,-0.005,0,0.01,411,0.4392,-0.0011,0.0002,1613
Mon Jul 11 2022,SPY220711C00346000,35.36,0,42.5,43.56,0,0.8062,0.9987,0.0003,10,346.00,SPY220711P00346000,0.01,-0.005,0,0.01,1,0.4295,-0.0012,0.0003,804
Mon Jul 11 2022,SPY220711C00347000,26.23,0,41.5,42.56,0,0.7884,0.9986,0.0003,7,347.00,SPY220711P00347000,0.01,0,0,0.01,0,0.4198,-0.0013,0.0003,487
Mon Jul 11 2022,SPY220711C00348000,33.67,0,40.5,41.56,0,0.7706,0.9985,0.0003,8,348.00,SPY220711P00348000,0.01,-0.005,0,0.01,15,0.41,-0.0014,0.0003,796
Mon Jul 11 2022,SPY220711C00349000,0,0,39.67,40.42,0,0.753,0.9984,0.0003,0,349.00,SPY220711P00349000,0.01,-0.005,0,0.01,19,0.4003,-0.0014,0.0003,212
Mon Jul 11 2022,SPY220711C00350000,39.28,0.45,38.67,39.41,19,0.7344,0.9983,0.0004,108,350.00,SPY220711P00350000,0.01,-0.005,0,0.01,733,0.3906,-0.0016,0.0004,36929
Mon Jul 11 2022,SPY220711C00351000,0,0,37.67,38.42,0,0.719,0.9982,0.0004,0,351.00,SPY220711P00351000,0.01,-0.005,0,0.01,16,0.3809,-0.0017,0.0004,154
Mon Jul 11 2022,SPY220711C00352000,37.28,0.445,36.5,37.56,2,0.7015,0.9981,0.0004,12,352.00,SPY220711P00352000,0.01,-0.015,0,0.01,11,0.3712,-0.0018,0.0004,3670
Mon Jul 11 2022,SPY220711C00353000,33.6,0,35.5,36.56,0,0.6841,0.9979,0.0005,4,353.00,SPY220711P00353000,0.01,-0.015,0.01,0.02,38,0.366,-0.0019,0.0005,503
Mon Jul 11 2022,SPY220711C00354000,27.68,0,34.5,35.56,0,0.6668,0.9978,0.0005,16,354.00,SPY220711P00354000,0.02,-0.005,0,0.01,528,0.3519,-0.0021,0.0005,3439
Mon Jul 11 2022,SPY220711C00355000,32.34,-1.5,33.5,34.56,2,0.6495,0.9976,0.0006,45,355.00,SPY220711P00355000,0.01,-0.015,0.01,0.02,400,0.3467,-0.0023,0.0006,1342
Mon Jul 11 2022,SPY220711C00356000,29.93,-2.915,32.5,33.56,1,0.6323,0.9974,0.0006,4,356.00,SPY220711P00356000,0.01,-0.015,0.01,0.02,398,0.3371,-0.0024,0.0006,2238
Mon Jul 11 2022,SPY220711C00357000,32.22,0.375,31.5,32.56,3,0.6146,0.9972,0.0007,13,357.00,SPY220711P00357000,0.01,-0.025,0.01,0.02,55,0.3586,-0.0026,0.0007,2425
Mon Jul 11 2022,SPY220711C00358000,21.19,0,30.5,31.56,0,0.5991,0.997,0.0007,1,358.00,SPY220711P00358000,0.01,-0.025,0.01,0.02,10,0.348,-0.0029,0.0007,1222
